Sno,Weight
0,0.10007335
1,0.04084192
2,-0.13196357
3,-0.18065047
4,-0.1824317
5,-0.023559086
6,-0.1251002
7,-0.26651886
8,0.0003868814
9,-0.013775764
10,-0.008388389
11,-0.032810852
12,-0.019289322
13,0.001751706
14,-0.06458581
15,-0.03390859
16,0.06253713
17,-0.011014742
18,-0.11038169
19,0.0050425087
20,-0.047305673
21,0.09646578
22,-0.024605185
23,-0.025751557
24,-0.03102735
25,-0.087791674
26,-0.0240786
27,-0.05404479
28,-0.11594157
29,0.120013036
30,0.0037263941
31,-0.017793637
32,-0.15369081
33,-0.072645955
34,-0.03983956
35,-0.17258157
36,-0.027749669
37,0.044325326
38,0.069727875
39,-0.0936335
40,-0.037474625
41,0.033185218
42,-0.0051572067
43,-0.020466398
44,-0.12679958
45,-0.035211366
46,-0.16618071
47,0.045551047
48,0.008743699
49,-0.00097146
50,-0.16025355
51,-0.0215617
52,-0.07889762
53,-0.008977882
54,-0.019861205
55,-0.1451024
56,-0.13214687
57,-0.12851247
58,-0.020761691
59,-0.15041752
60,-0.0199283
61,0.04093677
62,-0.017214749
63,-0.08864555
64,-0.033373047
65,0.033083476
66,-0.018031167
67,-0.24665406
68,0.0014675844
69,-0.01883551
70,-0.071316816
71,-0.09378228
72,0.0099647315
73,-0.03353297
74,-0.010956341
75,-0.039502446
76,-0.0045552715
77,-0.009110977
78,0.0024223034
79,-0.010775573
80,0.094832905
81,-0.041298002
82,-0.039311357
83,-0.04217425
84,-0.035304286
85,-0.029935759
86,-0.101478204
87,-0.06297635
88,-0.062749
89,0.12492885
90,-0.016462093
91,-0.019379018
92,-0.16688721
93,-0.026159102
94,-0.064127386
95,-0.18615805
96,0.009834058
97,-0.011662913
98,-0.047098592
99,0.0150591545
100,-0.04136188
101,-0.058191344
102,-0.087392375
103,-0.02246467
104,0.005522464
105,-0.048417155
106,-0.0077142967
107,-0.061211307
108,-0.051057603
109,0.12911195
110,0.015586234
111,-0.13067493
112,-0.004632768
113,-0.08425983
114,-0.20871095
115,-0.06507765
116,0.19252817
117,-0.10258164
118,-0.008505571
119,-0.020401577
120,-0.0042822156
121,0.016654726
122,-0.0076512843
123,-0.069659285
124,-0.042830978
125,-0.04542426
126,-0.201001
127,-0.019964145
128,0.022807293
129,-0.0075631584
130,-0.073067755
131,0.008927159
132,-0.0073649557
133,-0.03384388
134,-0.0050558583
135,-0.09198214
136,0.018287158
137,-0.023996746
138,0.010727843
139,-0.045100644
140,0.0067484537
