Sno,Weight
0,0.023278404
1,0.036447085
2,-0.02372586
3,0.007563765
4,-0.036704972
5,0.04642125
6,0.041504398
7,0.02506291
8,0.059767917
9,0.0113689285
10,-0.060407635
11,-0.005293678
12,-0.0043550394
13,-0.014214406
14,-0.00037185973
15,0.006341749
16,-0.016344521
17,0.02013743
18,-0.06784453
19,-0.028927466
20,0.047616582
21,-0.058741227
22,0.053845007
23,0.0033667432
24,0.0042397697
25,0.02549368
26,-0.006391485
27,0.031006236
28,-0.054872822
29,-0.05234409
30,0.010462906
31,0.016864492
32,-0.053000256
33,-0.0010520414
34,0.039177738
35,-0.031457536
36,0.030437479
37,0.03145924
38,-0.07588795
39,-0.028180901
40,-0.009697088
41,0.020002868
42,-0.017266026
43,0.010547266
44,-0.014732227
45,0.07161942
46,0.022650285
47,-0.011306785
48,-0.030989714
49,-0.055257324
50,0.00017405247
51,-0.06328985
52,0.030921943
53,0.030742493
54,-0.013978443
55,-0.0572073
56,0.013114576
57,-0.00050494494
58,0.020641703
59,0.037137844
60,-0.055413887
61,-0.046208616
62,-0.013671151
63,0.041682344
64,-0.032570105
65,0.023875985
66,0.014536724
67,0.013296115
68,0.043597396
69,-0.044019736
70,-0.08573733
71,-0.032031365
72,-0.06857972
73,-0.0023499597
74,0.02961739
75,-0.029108888
76,-0.0053534596
77,0.047054466
78,0.01881442
79,0.02246131
80,-0.032699987
81,-0.056560352
82,0.012203973
83,0.030213144
84,0.018608373
85,0.038450506
86,0.044915505
87,-0.074379325
88,0.013233039
89,0.017992837
90,0.021180682
91,-0.049261577
92,-0.0034974532
93,0.014767859
94,0.039256923
95,-0.0119985705
96,0.023825157
97,0.0144526595
98,0.032741446
99,0.041133266
100,0.022263873
101,-0.025886996
102,0.029779807
103,0.04011195
104,-0.046463773
105,-0.011559437
106,0.02637761
107,-0.008120522
108,0.0061820815
109,-0.02309333
110,0.024857681
111,0.039621104
112,-0.051994245
113,0.015958846
114,-0.05263749
115,0.008010284
116,-0.058334958
117,0.03849965
118,0.047730923
119,0.040820457
120,0.026624896
121,0.015798107
122,-0.0041967127
123,-0.05265258
124,0.019245928
125,0.021150341
126,0.007548347
127,0.05184307
128,0.037137307
129,0.01147856
130,-0.02461497
131,0.060369916
132,-0.044956993
133,-0.051646784
134,0.04929052
135,0.042042058
136,-0.046790417
137,-0.066484235
138,-0.0703738
139,0.04354546
140,0.038524546
141,0.048771687
142,0.056625813
143,0.035591472
144,0.042717382
145,0.029799547
146,0.017664768
147,-0.07085044
148,0.040229533
149,0.04381076
150,-0.0555698
151,0.037537795
152,0.070689715
153,0.05798459
154,-0.005292382
155,0.05259192
156,0.050333835
157,0.046200186
158,0.06052553
159,0.0056318585
160,-0.07418109
161,0.052688938
162,-0.023706676
163,-0.06430993
164,0.019206913
165,0.041446596
166,0.087105386
167,-0.06511498
168,-0.06387672
169,0.039109588
170,0.025034003
171,0.03686958
172,0.03412055
173,-0.05434557
174,0.020543478
175,-0.060206596
176,0.053434566
177,-0.08615163
178,0.06997968
179,-0.057860468
180,0.05096361
181,0.042442463
182,0.031430203
183,0.06884267
184,0.012342259
185,-0.022956695
186,0.038213022
187,0.04132188
188,-0.06300346
189,0.019956142
190,0.048599083
191,0.03132787
192,0.015611899
193,0.009641378
194,0.04659644
195,-0.09823556
196,-0.023533411
197,-0.060662113
198,0.059581943
199,0.052631367
200,-0.074557096
201,0.047678445
202,0.037259605
203,-0.05191219
204,0.02712441
205,-0.061806854
206,0.015631096
207,0.03860376
208,0.02326304
209,0.10616451
210,-0.037160892
211,0.01310215
212,0.055485956
213,0.01689623
214,-0.046210688
215,0.0678628
216,0.05235761
217,0.010494534
218,0.029091526
219,0.06257064
220,-0.0049715657
221,0.027662694
222,0.04459003
223,-0.008479027
224,0.032670025
225,0.047727264
226,-0.0855288
227,0.040835187
228,0.033466034
229,0.06850692
230,0.039550316
231,0.016910974
232,-0.04640477
233,0.060378227
234,-0.06651027
235,-0.057740897
236,-0.07061741
237,0.0393066
238,-0.026144959
239,0.0088001415
240,-0.045873445
241,0.04329893
242,-0.06792172
243,-0.0731706
244,-0.05351417
245,0.009490797
246,0.013709868
247,0.1109927
248,0.0016793361
249,0.025462782
250,0.021483047
251,0.049485832
252,0.05352974
253,0.043865528
254,0.044775885
255,0.027181169
256,0.04066637
257,-0.0879796
258,-0.07495506
259,0.028337635
260,0.082001194
261,0.018189754
262,0.02688675
263,0.017841555
264,-0.046605453
265,0.044809673
266,0.07541593
267,0.06529994
268,0.04692404
269,0.041611243
270,0.028928678
271,0.030332597
272,0.043409396
273,0.03789241
274,0.05053504
275,-0.070857
276,0.042055644
277,0.014253592
278,0.074014395
279,0.04021859
280,0.017260488
281,-0.00057394727
282,-0.0012494578
283,0.034616888
284,-0.024120873
285,-0.050828967
286,-0.062060464
287,-0.0040264027
288,0.069625415
289,-0.0044177677
290,-0.03698251
291,-0.064347886
292,-0.01921976
293,-0.03456325
294,0.020593245
295,-0.07170674
296,-0.063415624
297,0.045476425
298,0.042858265
299,0.036815614
300,0.037880074
301,-0.054373622
302,0.034589052
303,-0.060597394
304,0.021933049
305,0.13110845
306,-0.070613526
307,0.05953762
308,0.040007852
309,0.020310124
310,0.030630069
311,-0.05686661
312,0.036306623
313,0.026940672
314,0.06135779
315,0.023227358
316,0.07649749
317,-0.0154019045
318,-0.023672182
319,0.025448846
320,-0.042333666
321,0.038515136
322,-0.053236242
323,0.02405494
324,-0.0065638535
325,0.04989072
326,-0.046138298
327,0.013425779
328,0.09277538
329,0.04357929
330,-0.02647897
331,-0.052155346
332,0.043956574
333,-0.06196118
334,0.031984158
335,0.005560073
336,0.054533295
337,-0.034138463
338,0.028268872
339,0.036750693
340,0.032701526
341,0.013248759
342,-0.046455048
343,-0.07458674
344,0.021240503
345,-0.08926417
346,0.03627037
347,0.020935424
348,0.01795623
349,0.0035250017
350,0.032578774
351,-0.0087492345
352,-0.03138198
353,-0.018970067
354,-0.085285135
355,0.005223165
356,0.013072356
357,-0.054374535
358,-0.009447526
359,-0.018765204
360,-0.0043626814
361,0.027379803
362,-0.06710564
363,0.048925817
364,0.12921466
365,0.028654775
366,0.05984939
367,0.010688292
368,0.058634296
369,0.046831906
370,0.08248658
371,-0.066353865
372,0.0056931307
373,0.054452073
374,-0.037362363
375,-0.025973598
376,0.040553905
377,0.0560426
378,0.028130015
379,-0.006878694
380,-0.09882546
381,-0.017077824
382,-0.056986924
383,0.039706204
384,-0.04772034
385,-0.08256894
386,-0.074943475
387,0.021060476
388,0.053255178
389,-0.021891998
390,-0.040230267
391,0.03422668
392,-0.023052793
393,0.019598564
394,-0.054109596
395,-0.053929865
396,0.010872893
397,-0.014460308
398,-0.008404924
399,0.007846312
400,-0.0046305424
401,-0.04503795
402,0.078542
403,0.08318872
404,-0.032786284
405,-0.008521601
406,-0.054801993
407,-0.02651962
408,-0.037865154
409,-0.05491082
410,-0.0048090825
411,-0.038108584
412,0.027500652
413,0.03403607
414,-0.062093053
415,0.014165556
416,-0.074061915
417,-0.0501178
418,-0.07071002
419,0.060031395
420,-0.043063167
421,-0.0148517145
422,-0.04841316
423,-0.07177992
424,0.07665106
425,0.023152921
426,-0.0456834
427,0.0151061
428,0.002624436
429,-0.0543206
430,-0.003099944
431,0.07731816
432,0.018577171
433,0.03356988
434,-0.07062448
435,0.0476123
436,-0.0292148
437,0.05082671
438,-0.04942207
439,-0.05688069
440,0.050393634
441,-0.04420311
442,0.066484146
443,-0.02744641
444,-0.063181385
445,-0.0063817957
446,0.0036257445
447,-0.047505043
448,-0.07531852
449,-0.05356483
450,0.014815816
451,0.042944506
452,-0.046563435
453,0.07444017
454,0.015205751
455,-0.005175792
456,-0.07473337
457,0.013132202
458,0.028342461
459,0.07678367
460,0.065877035
461,-0.06188209
462,0.0112189725
463,-0.03364654
464,0.0070198546
465,-0.010206547
466,0.029788813
467,-0.048981998
468,-0.0043872404
469,0.02199565
470,0.003453826
471,-0.074435495
472,0.015011427
473,0.11052487
474,-0.0022965546
475,0.022146538
476,0.07389138
477,-0.0049463254
478,-0.047699045
479,-0.007112184
480,-0.031155964
481,0.0061189164
482,-0.08542806
483,-0.0595111
484,-0.0034101696
485,0.05464546
486,0.00664364
487,-0.031181507
488,-0.020449834
489,-0.010897994
490,0.05561722
491,0.038169093
492,0.038906224
493,0.031775504
494,-0.01184662
495,0.05618177
496,0.036463045
497,0.0028765902
498,0.0847899
499,0.06538063
500,-0.002343995
501,0.0237233
502,0.020318028
503,-0.07993876
504,0.032706387
505,-0.047973644
506,-0.0057723974
507,0.008021538
508,-0.054979958
509,-0.036374338
510,-0.0052873767
511,-0.064246565
512,-0.048126232
513,-0.039771494
514,0.08703353
515,0.028162714
516,-0.0447405
517,-0.024678623
518,0.0069287647
519,0.035779316
520,-0.047011532
521,-0.06619343
522,0.08584877
523,-0.053881545
524,-0.055273034
525,-0.035947416
526,-0.039804094
527,-0.041590825
528,0.006977664
529,-0.025548872
530,0.07639683
531,-0.07094469
532,-0.021911543
533,-0.043566525
534,-0.0006403017
535,-0.042946324
536,-0.03752631
537,-0.07141745
538,-0.009389043
539,-0.041271433
540,0.043197036
541,0.052863173
542,0.05225742
543,0.051092185
544,0.031365044
545,-0.049977347
546,0.015437278
547,0.066075556
548,0.008195625
549,-0.009806892
550,0.023908181
551,0.07006791
552,-0.063749515
553,0.0014980129
554,0.05979198
555,-0.03341589
556,-0.0018867445
557,-0.054498553
558,-0.003956577
559,-0.0602167
560,-0.05770332
561,0.044073235
562,-0.06424228
563,0.056291677
564,-0.028942244
565,-0.060944416
566,0.07034437
567,0.045209993
568,-0.013124347
569,0.009613624
570,-0.022725571
571,-0.03298288
572,0.035471447
573,-0.065021105
574,-0.035940573
575,-0.047428776
576,-0.07173701
577,-0.0049365694
578,-6.6201406e-05
579,0.106677264
580,-0.023868885
581,0.057561956
582,-0.07668718
583,-0.03233546
584,-0.07474513
585,0.03607246
586,-0.07660823
587,-0.05188999
588,-0.04150378
589,-0.01316699
590,-0.037943833
591,-0.05021824
592,0.0015388154
593,0.013894751
594,-0.009375702
595,-0.029380923
596,-0.0002698203
597,-0.084506944
598,0.009391926
599,-0.074588455
600,-0.04021216
601,-0.019831562
602,0.008493913
603,-0.049646262
604,0.006774121
605,-0.049147934
606,-0.047783922
607,-0.014039739
608,-0.003900383
609,-0.019856676
610,-0.085303575
611,-0.059753086
612,0.008440612
613,-0.0545075
614,-0.008015032
615,-0.022953246
616,-0.040168904
617,-0.038814664
618,-0.066763125
619,0.02751218
620,-0.02473034
621,-0.04500439
622,0.0744502
623,-0.061136514
624,0.038172606
625,0.007028315
626,-0.06814249
627,0.07751711
628,-0.023465805
629,-0.048916396
630,0.04174132
631,-0.10905707
632,0.03124496
633,-0.048235856
634,-0.031496864
635,0.033845745
636,0.005276794
637,-0.023433665
638,0.06525756
639,0.032864574
640,-0.047724653
641,-0.053248655
642,-0.0749213
643,0.047720823
644,-0.04487378
645,-0.040222462
646,-0.013530232
647,0.004850407
648,-0.04003301
649,-0.06650155
650,-0.05310036
651,-0.053980336
652,-0.028202435
653,-0.0082306545
654,-0.0393647
655,-0.03972567
656,-0.041232854
657,-0.044382613
