Sno,Weight
0,-0.012710507
1,-0.0300733
2,-0.0578992
3,-0.085080825
4,0.008406628
5,-0.05842648
6,0.11291254
7,-0.11738494
8,0.014489122
9,-0.14854051
10,-0.115736805
11,-0.049004562
12,-0.06690173
13,-0.065952025
14,-0.047205906
15,0.012595382
16,0.07144315
17,-0.089064054
18,-0.025004284
19,0.059421048
20,-0.05911312
21,-0.11535945
22,-0.014248323
23,0.06756273
24,-0.11522195
25,-0.01583379
26,-0.020328892
27,-0.14291292
28,-0.010808212
29,0.077420704
30,0.090292215
31,0.09179971
32,0.024387063
33,0.011158836
34,-0.065520905
35,-0.10012908
36,-0.03127476
37,0.019350538
38,-0.01647955
39,-0.0246694
40,-0.083096094
41,-0.06485132
42,-0.016656639
43,-0.093268044
44,-0.12013884
45,-0.012984472
46,0.0034659826
47,-0.11724321
48,-0.032281864
49,-0.09046112
50,0.028894182
51,-0.060745236
52,-0.2069934
53,-0.077070914
54,0.012915711
55,-0.12714958
56,-0.033749703
57,-0.0023056315
58,-0.031480905
59,-0.014266138
60,-0.018799562
61,0.024296975
62,0.02983515
63,-0.05560575
64,0.022755282
65,-0.0076275277
66,0.037887406
67,-0.07032835
68,0.012095928
69,-0.0990852
70,-0.08596511
71,-0.10406798
72,-0.25719032
73,-0.013178744
74,-0.029660478
75,-0.026280057
76,-0.020272342
77,-0.06586292
78,-0.0012420955
79,0.10850716
80,-0.012391411
81,0.053827133
82,-0.17298162
83,-0.0017205038
84,0.08158566
85,-0.03516026
86,-0.044323232
87,0.029505387
88,-0.043738578
89,-0.10597095
90,0.071062505
91,0.027652938
92,-0.108015455
93,0.010547412
94,0.041941006
95,-0.039138667
96,0.029345578
97,-0.12130492
98,0.011235829
99,-0.086917326
100,-0.026995707
101,-0.0528916
102,-0.11151923
103,-0.03361657
104,-0.015552527
105,0.01777447
106,-0.029882818
107,-0.040130768
108,-0.124667935
109,0.040112972
110,-0.05820639
111,0.02593076
112,0.12131113
113,-0.08441678
114,0.0303055
115,-0.045737054
116,0.03946536
117,-0.06306962
118,0.12854853
119,-0.13722007
120,-0.07603668
121,-0.09858208
122,-0.061955158
123,-0.024233464
124,-0.0044118073
125,0.009514153
126,0.109723404
127,-0.12714969
128,-0.02006303
129,-0.029494198
130,-0.012534504
131,-0.052605104
132,-0.016838696
133,-0.1162401
134,-0.026226912
135,-0.017038738
136,-0.0448213
137,-0.08794906
138,0.00735043
139,-0.036554202
140,-0.054559823
141,0.002522217
142,-0.021533351
143,-0.03958748
144,-0.052850164
145,0.028080598
146,-0.044925157
147,-0.009437353
148,-0.049833912
149,-0.1091083
150,-0.0030029293
151,-0.008676586
152,-0.059268788
153,-0.016787501
154,-0.01912492
155,-0.038922705
156,-0.17196581
157,0.028109817
158,0.05186964
159,-0.12738822
160,0.015174089
161,0.017675666
162,-0.07852362
163,-0.100593545
164,-0.037369575
165,-0.12528367
166,-0.040023666
167,-0.051027037
168,-0.009979848
169,-0.06805407
170,-0.028749704
171,0.011678601
172,0.08137578
173,0.035864946
174,0.0036360964
175,0.028207248
176,-0.0016872112
177,-0.09743511
178,0.013432398
179,-0.044386145
180,-0.015374442
181,-0.03586455
182,-0.0055974717
183,-0.06792149
184,-0.044655204
185,0.03220957
186,-0.047284078
187,-0.22754298
188,-0.0008802945
189,-0.055877432
190,-0.075806186
191,-0.13579704
192,-0.14606252
193,-0.02815942
194,-0.0016218445
195,-0.044398732
196,-0.22432579
197,0.017127741
198,-0.07326405
199,-0.033108845
200,-0.04789623
201,-0.025337365
202,-0.097884275
203,-0.47403228
204,0.0007473514
205,-0.018724443
206,-0.027441967
207,0.051761363
208,-0.12026371
209,-0.2498975
210,-0.15831248
211,-0.062073514
212,-0.014365381
213,-0.01015841
214,-0.12993972
215,-0.07678467
216,0.050505057
217,0.047811955
218,-0.05502841
219,0.02315311
220,-0.060642507
221,8.872188e-05
222,-0.15494402
223,-0.005171757
224,-0.11476758
225,-0.05646177
226,-0.022598714
227,-0.025055025
228,-0.03995419
229,-0.03293463
230,-0.05686482
231,0.0073092664
232,-0.08289928
233,-0.13148938
234,-0.042297363
235,0.032107584
236,-0.029681072
237,-0.12064356
238,-0.016062727
239,-0.115743876
240,-0.16698262
241,-0.06122949
242,-0.043981116
243,-0.03154259
244,-0.06078766
245,-0.019808048
246,0.046263438
247,-0.06972717
248,0.0317579
249,-0.072456904
250,0.03574804
251,-0.051670298
252,-0.19386557
253,0.07247629
254,-0.019373663
255,-0.1545987
256,-0.011203371
257,0.12423766
258,-0.07746376
259,-0.035647515
260,-0.0063580982
261,-0.0154079925
262,0.026550401
263,0.12952834
264,-0.12354466
265,-0.03213864
266,0.12942608
267,0.10614844
268,-0.10680968
269,0.01433564
270,-0.115471944
271,0.05189207
272,0.06475118
273,0.021381529
274,-0.030292274
275,0.09939776
276,-0.10028883
277,-0.09004365
278,-0.0052486192
279,0.11384368
280,-0.048847094
281,-0.03462036
282,0.01965075
283,0.010081632
284,0.06303511
285,0.08782272
286,0.03194881
287,0.025131442
288,0.055932324
289,-0.0688543
290,-0.009452178
291,0.072980806
292,-0.024777777
293,-0.030351043
294,0.13899288
295,-0.020859096
296,-0.016178796
297,-0.122239225
298,-0.05795148
299,0.022952616
300,-0.09340298
301,0.07001561
302,-0.007779001
303,0.1146619
304,-0.00941392
305,0.112096466
306,-0.015478787
307,-0.035307813
308,0.09283725
309,-0.0108307935
310,-0.015968563
311,0.021303553
312,-0.09107492
313,-0.15554406
314,-0.03421279
315,-0.0029425616
316,0.016176457
317,0.11500623
318,0.01002167
319,-0.0025297205
320,0.052446336
321,-0.013070648
322,0.070192754
323,-0.13936472
324,0.10012854
325,0.08132784
326,-0.04650687
327,0.017642248
328,0.004643458
329,-0.011304442
330,0.15503484
331,0.025109878
332,0.15244581
333,-0.03252942
334,-0.004126986
335,0.034452423
336,0.07265135
337,0.048515733
338,-0.023886193
339,-0.16508572
340,0.10811965
341,-0.0574104
342,-0.0015758326
343,0.14181256
344,0.024053607
345,-0.0013155766
346,-0.02033752
347,0.04346184
348,0.02401843
349,0.04443958
350,0.020403717
351,-0.051633365
352,-0.0017905833
353,-0.15891007
354,0.26295936
355,-0.01948945
356,-0.062128007
357,-0.10433928
358,-0.054621365
359,0.14651266
360,-0.08684767
361,0.012098143
362,-0.052597165
363,0.025056865
364,0.040964935
365,-0.06161096
366,0.05161294
367,-0.0016219763
368,0.04831706
369,0.11968081
370,0.0474849
371,-0.11993828
372,0.14047197
373,-0.09869426
374,-0.024161091
375,0.0650269
376,0.0123174
377,-0.119739115
378,-0.10322882
379,0.15243112
380,0.014683914
381,0.054140404
382,-0.024779784
383,0.12831827
384,-0.027645787
385,0.011353692
386,0.0013451319
387,0.0150360605
388,-0.015581066
389,0.0025449868
390,-0.021559188
391,-0.04600451
392,-0.037428133
393,0.04853488
394,-0.013874582
395,-0.006297481
396,-0.0774268
397,0.059324995
398,-0.002582306
399,-0.030047225
400,-0.020756714
401,0.037768193
402,-0.02680814
403,0.007805207
404,0.02985113
405,-0.037127767
406,-0.0082469
407,-0.024823222
408,-0.07653863
409,0.0030261327
410,-0.0022535543
411,-0.06956464
412,0.006957411
413,-0.003747459
414,-0.02198069
415,0.025949925
416,0.091285214
417,-0.05246686
418,0.05793128
419,-0.011663698
420,0.03817006
421,0.03251153
422,0.0056950687
423,-0.0020222862
424,0.046062093
425,0.042555783
426,0.043400805
427,-0.039087556
428,-0.061742365
429,-0.01006161
430,-0.0078268
431,0.005354419
432,-0.013287976
433,-0.004686763
434,-0.069471546
435,0.016171962
436,0.02619908
437,0.033465754
438,-0.028980304
439,0.040623244
440,0.043687332
441,0.021049637
442,0.033019617
443,0.031610895
444,-0.04343988
445,0.02243131
446,0.073722936
447,-0.046011586
448,0.054617126
449,0.010758637
450,0.002532224
451,-0.00011219853
452,0.029269883
453,0.005845356
454,0.05075706
455,0.011121991
456,0.023375101
457,-0.011107131
458,-0.021548055
459,-0.0004084559
460,0.009769281
461,-0.0695411
462,0.0028277058
463,0.022170346
464,0.06283059
465,0.03177223
466,0.017090682
467,0.072231576
468,-0.003309476
469,-0.016134117
470,-0.048300426
471,-0.00079192925
472,0.13584876
473,-0.06464863
474,-0.00070266187
475,-0.024655098
476,0.0049266736
477,-0.02140844
478,0.0055265045
479,-0.015957912
480,0.09799714
481,-0.02290356
482,0.011157866
483,-0.0012640263
484,-0.003383714
485,0.0023425554
486,0.014884164
487,0.0071006496
488,-0.028832033
489,0.0619421
490,-0.026449997
491,0.12439407
492,-0.0020080786
493,0.084417865
494,-0.017343596
495,0.07238717
