Sno,Weight
0,-0.015264433
1,-0.009753796
2,0.007038506
3,-0.006476335
4,-0.014052689
5,0.0048112734
6,0.0018828715
7,-0.004825878
8,-0.00865285
9,0.007878468
10,-0.008509733
11,-0.014058683
12,-0.011564954
13,-0.0138696
14,0.0029812057
15,-0.012879995
16,-0.00880958
17,-0.013962582
18,-0.008296858
19,-0.00046611988
20,-0.00025928926
21,-0.013469601
22,-0.010028943
23,-0.007333191
24,0.00505025
25,0.012371674
26,-0.0021886623
27,-0.0060099657
28,0.0028860362
29,-0.009023331
30,-0.012126992
31,-0.0013196571
32,-0.009872268
33,-0.00041261633
34,-0.0014285136
35,0.005553673
36,0.0023848617
37,-0.0030826111
38,0.008117657
39,-0.00040184509
40,0.006638944
41,0.0027391089
42,0.004549395
43,-0.003159179
44,-0.0019200449
45,0.009184357
46,0.008857346
47,-0.0073117213
48,-0.011361506
49,0.0055635776
50,0.0019955738
51,-0.009375241
52,0.0010894802
53,-0.0033322056
54,-0.0010456014
55,0.0024045538
56,0.0072018947
57,0.014252179
58,-0.0034048557
59,-0.014658711
60,-0.005952942
61,-0.00040348584
62,-0.0038471809
63,-0.003322939
64,0.004057846
65,-0.002965326
66,-0.011566301
67,0.0007828325
68,-0.003077168
69,0.004948661
70,-0.015280494
71,-0.01558808
72,-0.019934898
73,-0.009865383
74,0.014780802
75,0.0067203767
76,-0.0064347354
77,-0.0011686892
78,0.00190157
79,-0.0025429197
80,0.01661298
81,-0.011777572
82,0.0030975852
83,0.0053385156
84,0.011262926
85,-0.0021055522
86,0.0055977455
87,-0.0021632803
88,-0.014718833
89,0.0050337017
90,-0.0058950824
91,0.00080320344
92,0.016420487
93,0.0064709717
94,-0.009675856
95,0.0013803968
96,-0.0046794172
97,-0.0038174815
98,0.00021426857
99,0.00874519
100,0.0014525674
101,-0.0025591399
102,-0.0049122833
103,-0.007866296
104,-0.0025410098
105,0.005891165
106,-0.0064596133
107,-0.012196511
108,-0.013527308
109,-0.011976514
110,0.012040213
111,0.0140518015
112,-0.0008878986
113,-0.0054399455
114,-0.008319271
115,-0.009722924
116,-0.009536118
117,0.015357818
118,0.0017425279
119,0.0099370545
120,-0.0040652794
121,-0.0051187864
122,0.0009858595
123,-0.017438581
124,-0.009135667
125,0.0042608995
126,-0.006701214
127,-0.004157443
128,0.0012242083
129,0.009859966
130,0.00457903
131,0.0024870948
132,-0.01121727
133,0.008179001
134,0.010029698
135,-0.012080605
136,4.742213e-05
137,-0.010466053
138,0.010986327
139,0.006226741
140,0.0032876383
141,-0.013680841
142,0.0013727724
143,0.0013202203
144,0.006076895
145,-0.0055377306
146,0.003962692
147,0.0061821057
148,-0.0009273027
149,-0.0067923837
150,0.009849818
151,-0.0035612076
152,-0.0069325254
153,-0.01980218
154,0.009478943
155,0.011356674
156,0.0067756325
157,-0.0046515265
158,0.0027085752
159,0.013776203
160,-0.010879843
161,-0.0091259
162,-0.011970778
163,-0.0095000025
164,0.007497045
165,0.012022832
166,0.011165628
167,-0.008229425
168,-0.00941412
169,-0.0033015343
170,-0.00123695
171,0.0040063523
172,-0.0026927013
173,0.013768494
174,0.0072475723
175,0.0010841453
176,0.014767005
177,0.0122992005
178,0.0012018696
179,0.0026072673
180,0.0028546462
181,-0.0060770605
182,-0.0005677208
183,0.0056701377
184,0.0066365893
185,0.007957278
186,-0.007412012
187,-0.009483371
188,-0.01119902
189,-0.0049160514
190,0.013020427
191,0.013184412
192,-0.0002987238
193,0.0011716647
194,0.0048844684
195,-0.012635174
196,-0.0051492113
197,0.0033577965
198,0.0065591657
199,0.0011935845
200,-0.007470515
201,-0.011364643
202,-0.0002622564
203,0.007745738
204,-0.0028777062
205,-0.004133311
206,-0.0014964618
207,0.01009147
208,0.006938317
209,-0.0129285585
210,0.0033055986
211,-0.015958203
212,0.005429626
213,0.0015495844
214,0.008915491
215,-0.008008624
216,-0.0041911486
217,-0.009539233
218,-0.0059877997
219,-0.0034134581
220,-0.012338084
221,0.005061316
222,0.00017659785
223,-0.00801688
224,0.0012068216
225,-0.005861296
226,0.00031485775
227,0.01256188
228,0.014624839
229,0.0013453645
230,-0.0022050105
231,0.0016768916
232,-0.0021647713
233,-0.007474816
234,-0.0073957406
235,0.0047251317
236,0.0060718483
237,-0.0056950594
238,-0.0072168214
239,0.0014910789
240,0.011682922
241,-0.004904992
242,-0.00074313045
243,-0.010098229
244,-0.0029491081
245,0.005820317
246,-0.0036347664
247,0.010227883
248,-0.004670709
249,0.009376637
250,0.0071196575
251,0.009660419
252,0.0035033673
253,0.00019866241
254,-0.000916737
255,0.0107453205
