Sno,Weight
0,0.0027123494
1,-0.00036181218
2,-0.006482357
3,0.0056381826
4,-0.0073392703
5,-0.0032752585
6,-0.019954218
7,-0.019000843
8,-0.0019527859
9,-0.011697766
10,-0.0027257986
11,-0.0053850184
12,0.008554517
13,0.009914397
14,0.01106405
15,-0.00029488595
16,0.0033681665
17,0.0014463455
18,-0.0006586614
19,0.0010127292
20,0.0056915577
21,0.0011608638
22,0.0040472737
23,0.017011698
24,-0.0005997232
25,-0.0016091549
26,0.009622982
27,0.01045849
28,0.0015272269
29,-0.008474126
30,-0.006350101
31,-0.001660709
32,-0.0011696607
33,-0.01001212
34,0.0062657483
35,0.0085997395
36,0.0063811643
37,-0.010164546
38,-0.010222044
39,-0.0070933537
40,0.0010331179
41,0.004036778
42,0.0033430208
43,-0.005091392
44,0.00066473964
45,-0.005960774
46,0.0016361031
47,-0.010582975
48,-0.007178713
49,-0.0091393255
50,0.0015707066
51,-0.0037530335
52,-0.0030170383
53,0.012710982
54,-0.0054007573
55,-0.003498106
56,-0.0015212477
57,-0.0052862787
58,0.004685477
59,-0.0061238906
60,-0.0053418004
61,0.0015206813
62,0.003581839
63,0.00045965274
64,-0.0057830564
65,0.0081105
66,0.004435717
67,-0.0008779841
68,-0.0011290992
69,-0.002645984
70,-0.0050350055
71,0.0033188225
72,0.006492832
73,0.005830076
74,-0.0019409648
75,0.0043698614
76,0.012206819
77,-0.0027258033
78,-0.0035772203
79,0.006416493
80,0.008984828
81,0.003647479
82,-0.007563801
83,0.004796814
84,-0.018411515
85,0.0075688357
86,0.011273548
87,-0.0078492
88,0.012057008
89,0.008073299
90,0.005691678
91,0.012654338
92,0.0015678721
93,0.009047723
94,-0.01227804
95,-0.0101827765
96,0.011069149
97,-0.00039264027
98,-0.008258388
99,-0.0037167287
100,-0.0036148415
101,0.0102554895
102,0.000553275
103,0.007169471
104,0.0066716606
105,0.00070815184
106,0.007148043
107,-0.0011635596
108,-0.003941059
109,0.010867023
110,-0.002665541
111,0.015611337
112,-0.005731302
113,0.016154248
114,-0.0061493893
115,0.008284889
116,0.012057416
117,-0.00415341
118,0.018848628
119,-0.005988154
120,0.00899212
121,-0.002275699
122,-0.0059527643
123,0.0028650444
124,-0.008995252
125,0.0013545
126,0.008392715
127,-0.009062737
128,-0.00930143
129,0.008185647
130,-0.0006447653
131,-0.0013412923
132,0.002045995
133,-0.0027827027
134,0.013923778
135,0.0032054256
136,0.0026603704
137,-0.009783222
138,-0.0032075779
139,-0.019215979
140,-0.0042269067
141,0.0038179823
142,-0.0019746737
143,0.0025726028
144,0.0052264147
145,-0.019857652
146,-0.005151153
147,-0.0035911188
148,0.0013539045
149,-0.011246079
150,0.017667789
151,0.0061674467
152,0.019278264
153,0.005591302
154,-0.018503305
155,0.0022738136
156,0.0075341784
157,-0.003192272
158,0.0005467565
159,0.0041055605
160,0.0011483344
161,-0.0033586377
162,0.0029718368
163,0.0051915077
164,0.00062569557
165,0.00028911105
166,0.0044722394
167,0.01188625
168,0.01698078
169,0.010003497
170,0.016998144
171,-0.0012830484
172,0.0027365203
173,-0.0044285306
174,-0.0066504916
175,0.005711001
176,-0.0022474888
177,-0.0015799418
178,-0.015899835
179,-0.0026895518
180,0.016165473
181,0.006356436
182,-0.0049799923
183,0.009087285
184,-0.011782317
185,0.0030941244
186,0.006529101
187,-0.019584
188,-0.019763099
189,-0.008329111
190,0.002305586
191,0.0048945886
192,-0.016474416
193,0.009226623
194,-0.0021749474
195,-0.014128312
196,0.014288385
197,0.0074031125
198,0.0011076111
199,-0.0023393973
200,0.0058604996
201,-0.009405343
202,0.018430041
203,-0.0018416325
204,-0.0069299885
205,0.014397366
206,0.018238703
207,-0.0027259279
208,0.0126145575
209,0.0075494084
210,0.007556555
211,0.016867237
212,0.014731352
213,0.0073589343
214,-0.013659219
215,0.003994785
216,0.015955858
217,-0.0013083079
218,0.0021841107
219,-0.0011506333
220,0.0039884
221,-0.001171375
222,0.002173941
223,-0.0077959276
224,0.0068848142
225,0.0011916724
226,0.015867326
227,0.0073431814
228,0.0044311206
229,0.003759892
230,0.01533018
231,-0.0034096611
232,-0.017785842
233,-0.015595577
234,0.0014772612
235,0.005486692
236,-0.00026812276
237,0.0031077852
238,-0.016158968
239,0.0010584038
240,-0.011015447
241,-0.0031099839
242,0.00114879
243,0.0011780591
244,-0.0018667224
245,0.0010092087
246,0.0038004487
247,0.0041412087
248,0.0033305732
249,-0.009285394
250,0.0037520714
251,-0.0072765774
252,-0.019612921
253,-0.0022629295
254,-0.008679449
255,0.0004776978
256,0.009250317
257,0.009029483
258,0.0060918564
259,-0.003505411
260,-0.0024267773
261,0.010220817
262,-0.0070788204
263,0.005797717
264,-0.0078076134
265,0.0077387597
266,-0.014857463
267,-0.013856148
268,0.0013575562
269,-0.00028173832
270,0.009613352
271,0.0026539993
272,0.012601082
273,-0.0018041264
274,0.003765313
275,0.0065274104
276,0.008362327
277,-0.005368915
278,0.0020136223
279,-0.011293418
280,0.0053162514
281,0.0030426492
282,-0.0038005235
283,-0.0009062582
284,-0.0037291986
285,-0.0116525395
286,0.00011325234
287,-0.002808554
288,-0.005934904
289,0.007853506
290,-0.013200852
291,0.00804859
292,0.0041642254
293,0.0037388592
294,-0.00032995763
295,0.011971689
296,0.009084937
297,-0.006679744
298,-0.000452937
299,-0.0054154694
300,-0.0007280589
301,0.0143527305
302,-0.0029309585
303,0.007638461
304,0.000849179
305,-0.011854371
306,-0.007924738
307,0.008321606
308,0.009641407
309,-0.0009176498
310,-0.0014612302
311,0.0015782535
312,0.0018969945
313,0.011120743
314,-0.006853307
315,0.016422866
316,-2.2689494e-05
317,-0.005748645
318,0.018962579
319,-0.007581606
320,-0.010775756
321,-0.009535876
322,-0.001782831
323,-0.010466728
324,0.013108911
325,-0.0177451
326,0.015568743
327,-0.0040161884
328,-0.008603809
329,-0.013154768
330,0.0033225592
331,-0.003471065
332,0.0031357144
333,0.0077060405
334,-0.00028230992
335,-0.010767816
336,-0.013945762
337,0.0036678698
338,-0.015623174
339,-0.006762156
340,-0.0049845204
341,-0.005073244
342,0.0133947935
343,0.0043703634
344,0.0054593603
345,0.0075262957
346,-0.012990215
347,0.0035773108
348,0.0018785716
349,0.00091954187
350,-0.0041083996
351,-0.014990055
352,0.0069874157
353,0.0035489716
354,-0.0024356921
355,-0.011368049
356,-0.004920289
357,-0.007141319
358,-0.011171665
359,0.011522074
360,-0.006611016
361,-0.0069179963
362,0.006307528
363,-0.012602712
364,-0.009564468
365,0.013576344
366,-0.0002628784
367,0.017446205
368,-0.006279376
369,0.0075072926
370,0.017606564
371,-0.013941415
372,-0.010654947
373,-0.005426744
374,-0.0049456237
375,-0.006034186
376,-0.007334509
377,-0.00089973793
378,-0.00850337
379,0.001077101
380,-0.00012914844
381,0.012997016
382,-0.0048103645
383,0.00071440416
384,-0.01115352
385,0.010101043
386,-0.0043223505
387,-0.012867346
388,0.014212282
389,0.009068169
390,0.0033144678
391,0.0065093916
392,-0.0012601148
393,-0.0002133737
394,-0.01656441
395,-0.008682042
396,-0.0032766343
397,-0.003877985
398,-0.0024423178
399,-0.0035287528
400,0.011560202
401,-0.0016995721
402,0.01840483
403,0.019101338
404,-0.004802339
405,0.012882761
406,0.010865254
407,0.0005662167
408,-0.011039819
409,-0.0063932096
410,0.008137372
411,-0.001976583
412,-0.0019550587
413,0.0104123065
414,-0.004376361
415,0.008425026
416,0.0056260014
417,0.0038356418
418,0.01634231
419,-0.012809929
420,0.015928831
421,0.002948318
422,-0.0002410883
423,-0.0076477556
424,0.015307793
425,0.015532129
426,-0.0046254783
427,0.017242828
428,0.0025237412
429,0.009154893
430,0.0053544915
431,-0.00845799
432,-0.0026183731
433,0.0075845704
434,-0.0033177102
435,-0.0024945533
436,-0.011958109
437,0.010886309
438,0.007094783
439,-0.00963123
440,0.0017315882
441,-0.003947719
442,0.0052982653
443,0.0045020008
444,0.0059701093
445,0.005076782
446,0.01951532
447,-0.013429935
448,0.004518866
449,-0.00874001
450,-0.0073326086
451,-0.0034793844
452,0.002747051
453,0.009992273
454,-0.0034821376
455,0.0075326464
456,0.0068931496
457,0.007727684
458,0.013455565
459,0.008661112
460,-0.008033352
461,0.017141672
462,0.007882191
463,-0.015774569
464,0.00081228605
465,-0.013766074
466,-0.00086035306
467,-0.011204695
468,0.0016129068
469,-0.01464695
470,0.0035181283
471,0.010586332
472,0.0003991767
473,-0.008924808
474,-0.0043101427
475,0.011505126
476,0.007284953
477,0.014344727
478,0.008952233
479,-0.00086058315
480,0.0034519413
481,-0.014865847
482,0.008135995
483,0.013894806
484,-0.010032276
485,0.013547461
486,0.009886575
487,0.008342155
488,-0.0046318453
489,-0.007761143
490,0.002253641
491,0.0057747955
492,0.0013141059
493,0.003399306
494,0.011850602
495,0.008491229
496,-0.009629113
497,0.011355743
498,-0.0022929946
499,-0.016224021
500,0.0010751591
501,-0.00055587385
502,-0.014841035
503,0.011915603
504,-0.004450452
505,-0.0005456927
506,-0.015405731
507,-0.008158599
508,-0.0015618205
509,0.007901024
510,0.003855752
511,0.008137577
512,0.009555556
513,-0.013911251
514,-0.008455459
515,-0.0034141608
516,-0.011166284
517,-0.0031924308
518,-0.01575583
519,0.0013051116
520,-0.00902847
521,-0.004729649
522,0.0050453944
523,-0.008713478
524,0.01743193
525,-0.004025634
526,0.0008893229
527,-0.00749569
528,0.010558866
529,-0.00147507
530,-0.0026100555
531,-0.01677496
532,0.013470529
533,-0.011453883
534,0.009357258
535,0.00883031
536,0.002946349
537,0.0005258597
538,0.004215947
539,0.0032126696
540,-0.00019772467
541,0.0014704656
542,-0.014067068
543,0.007531174
544,0.004065794
545,-0.0009914695
546,-0.00061143615
547,-0.0061748493
548,-0.0021589994
549,-0.004382405
550,0.008028845
551,-0.0021341168
552,-0.00847167
553,0.0015773233
554,-0.003572341
555,0.0008959104
556,0.004077764
557,-0.009435722
558,0.003115013
559,0.009447972
560,-0.005304004
561,0.002082414
562,0.009701602
563,-0.00897295
564,0.0043547084
565,-0.015384763
566,-0.012823022
567,0.0064075347
568,0.007070687
569,0.0055397954
570,-0.00019636076
571,-0.0014104644
572,-0.0068398677
573,-0.0015848876
574,-0.013784446
575,-0.004245172
576,0.002173706
577,0.0073857442
578,-0.007781309
579,-0.008065
580,0.0049776337
581,0.011841898
582,-0.0008463714
583,-0.00763091
584,-0.006199189
585,-0.007029819
586,-0.012190947
587,-0.0075033796
588,0.0038787902
589,0.0014683418
590,-0.0030888242
591,0.019264646
592,0.0019496847
593,0.0066541918
594,0.013757337
595,0.0028291903
596,0.010572141
597,0.0030981028
598,0.00011712851
599,-0.008633715
600,0.0074564177
601,0.011599082
602,-0.0014906289
603,-0.0075157066
604,0.0009991609
605,0.0024056402
606,0.010809479
607,-0.007700861
608,0.00858784
609,0.0138576105
610,0.0019830742
611,-0.014796737
612,0.0066424916
613,0.015253322
614,-0.014597882
615,0.0040971874
616,0.015816923
617,0.006186047
618,-0.0052701654
619,0.0074181985
620,0.018795194
621,-0.013577121
622,0.011075211
623,0.008482693
624,-0.0032534958
625,-0.0032798992
626,0.009323494
627,-0.006789858
628,0.0062290244
629,-0.006615521
630,0.011681335
631,-0.0056722006
632,0.003510989
633,-0.0029101572
634,-0.0068818447
635,0.008523708
636,0.007743572
637,-0.010738704
638,0.0059761503
639,-0.0067942967
640,0.007026271
641,-0.010944816
642,0.005128115
643,0.006755374
644,-0.008437685
645,-0.0044114827
646,0.01255715
647,0.00020089264
648,-0.0012978996
649,0.0014225002
650,0.015717681
651,-0.014974043
652,-0.00082785095
653,0.009940713
654,0.0022064417
655,-0.012803246
656,-0.01729787
657,0.0025996517
658,0.0011179076
659,-0.005513741
660,-0.001359484
661,-0.016717039
662,-0.003250237
663,-0.01032544
664,-0.013345987
665,0.010667493
666,0.00234333
667,0.000115832954
668,0.0017655337
669,-0.005027472
670,0.0020640884
671,0.008966106
672,0.00083183957
673,0.0034444504
674,0.0014009536
675,-0.011717122
676,-0.008871263
677,0.013232305
678,0.0041283336
679,-0.0020511104
680,0.01138535
681,-0.00039827748
682,0.0058617275
683,0.005882672
684,-0.005831607
685,-0.0070216972
686,0.0037840535
687,0.000100714045
688,-0.0142030325
689,-0.003293708
690,0.017210482
691,-0.007258683
692,-0.0052490127
693,-0.0024994228
694,-0.007071253
695,-0.005849059
696,0.004796646
697,-0.00021117377
698,-0.0064599086
699,0.008221363
700,-0.0011860006
701,0.015657246
702,0.008243927
703,-0.0022417721
704,0.0048768497
705,-0.00828332
706,-0.0053632236
707,0.007394842
708,0.0046014017
709,-0.008775107
710,-0.0100207385
711,-0.0032059122
712,-0.008566495
713,-0.0082998155
714,0.0049394234
715,-0.0004201178
716,-0.00468311
717,-0.015666522
718,0.0019995912
719,0.009962441
720,0.002571465
721,-0.0046381834
722,0.003945282
723,-0.0049252333
724,-0.0016617741
725,-0.009082501
726,-0.015306998
727,-0.0028365012
